"","grav.moist","tin.wt","tin.samp.wt","tin.samp.oven.wt","subsamp.wt","site","plot","horizon","subsamp.oven.wt","sand","silt","clay"
"249","3.9869608826479157E-2","28.8","70.27","68.680000000000007","47.39","Pk Mtn 9016","Pk Mtn 9016 Plot 1","h2","45.573021461297337","25.943027436392342","32.121593021458452","41.935379542149207"
"250","3.2398129592518338E-2","29.25","60.16","59.19","46.49","SDC 7326","SDC 7326 Plot 2","h3","45.03107732125526","44.010799430859407","42.24797904315917","13.741221525981423"
"251","3.2028469750889722E-2","30.5","68.2","67.03","53.36","SDC 7326","SDC 7326 Plot 2","h2","51.704000000000001","42.252898892600101","36.029590173349398","21.717510934050502"
"252","3.0105368790767764E-2","30.8","51.33","50.73","40.29","Federal 30-16","Federal 30-16 Plot 1","h4","39.112503653190451","23.93736728338213","42.917100728255008","33.145531988362862"
"253","1.8578590386317009E-2","30.44","64.98","64.349999999999994","50.57","Cath Fed 30 01 Rd","Cath Fed 30 01 Rd Plot 2","h1","49.647617255356096","42.091883579975054","33.690028465958719","24.218087954066231"
"254","2.2075055187637891E-2","30.26","48.78","48.38","54.17","Cath Fed 30 01","Cath Fed 30 01 NA","h1","53.000021598272149","59.905676716379354","30.54926560648402","9.545057677136624"
"255","2.6406035665294786E-2","30.54","60.47","59.7","57.51","DTU 1022","DTU 1022 Plot 2","h2","56.030457734714332","39.496094181220997","36.656330819729249","23.847574999049755"
"256","2.2049286640726324E-2","30.46","61.98","61.3","59.83","A-30-3-101S","A-30-3-101S Plot 1","h1","58.539251269035539","56.25986203616641","30.897170247657471","12.842967716176119"
"257","3.1210986267166046E-2","30.63","55.41","54.66","49.9","A-30-3-101S","A-30-3-101S Plot 2","h5","48.389709443099271","12.070050602512509","67.976828678164296","19.953120719323199"
"258","2.4357601713062008E-2","30.23","68.5","67.59","56.25","Cities Fed 07 31","Cities Fed 07 31 Plot 1","h4","54.912464071073956","34.724237356129848","43.327480536137898","21.948282107732258"
"259","2.6857142857142788E-2","30.49","48.46","47.99","52.48","Cities Fed 07 31","Cities Fed 07 31 Plot 1","h2","51.107401224262667","30.917155741510314","43.013301708119769","26.069542550369921"
"260","4.2916666666666707E-2","30.49","55.52","54.49","49.14","Cath Fed 30 01 Rd","Cath Fed 30 01 Rd Plot 2","h2","47.11785856971634","30.661900665953368","44.926353684313327","24.411745649733305"
"261","2.1993448759943791E-2","30.38","52.22","51.75","39.56","A-30-3-101S Rd","A-30-3-101S Rd Plot 1","h3","38.708663003663005","48.977829593000784","28.703021603327404","22.319148803671812"
"262","2.7980535279805256E-2","30.54","55.89","55.2","50.15","A-30-3-101S Rd","A-30-3-101S Rd Plot 1","h2","48.784970414201183","54.278317563693527","30.310835452201445","15.410846984105028"
"263","1.0561892691170256E-2","30.32","54.24","53.99","48.85","Cath Fed P 35 3","Cath Fed P 35 3 Plot 2","h5","48.339443979933108","75.301633283690563","14.538526306940946","10.159840409368494"
"264","2.01965065502182E-2","30.87","68.25","67.510000000000005","45.11","SWR 6003","SWR 6003 NA","h3","44.216971642589627","35.319825874695951","51.869527465272768","12.81064666003128"
"265","1.6085790884718728E-2","30.69","68.59","67.989999999999995","49.3",NA,"NA NA","h1","48.519525065963045","66.013268332904033","25.111026183788454","8.8757054833075202"
"281","2.5199496010079557E-2","29.32","53.73","53.13","48.54","DTU 1022","DTU 1022 Plot 2","h3","47.346882425235563","30.672467727103239","38.472882666984546","30.854649605912215"
"282","2.320392681838479E-2","29.41","52.34","51.82","46.67","Cities Fed 07 31","Cities Fed 07 31 Plot 2","h2","45.611631051024851","46.154791368742792","40.593225003835641","13.251983627421563"
"283","2.5680337293982159E-2","29.25","82.77","81.430000000000007","53.16","SWR 6003","SWR 6003 NA","h1","51.829013452914801","40.040485201661596","28.521859210606642","31.437655587731761"
"284","1.281024819855886E-2","29.25","54.55","54.23","47.55","DTU 1022","DTU 1022 Plot 1","h6","46.948577075098811","12.718369003867338","61.953946044864416","25.327684951268246"
"285","2.3715415019762993E-2","30.44","69.290000000000006","68.39","38.21","Cities Fed 07 31","Cities Fed 07 31 Plot 1","h5","37.324826254826256","18.188769238696636","54.705694750011368","27.105536011291996"
"286","2.6058631921824064E-2","30.45","58.8","58.08","58.09","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 1","h4","56.614698412698417","36.333898800387921","33.547601085615227","30.118500113996852"
"287","1.8266874582312166E-2","30.23","75.94","75.12","46.6","DTU 1022","DTU 1022 Plot 1","h1","45.764034128199526","51.927314933882258","26.644467365688637","21.428217700429105"
"288","2.3427866831072761E-2","30.48","55.38","54.81","49.24","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 2","h2","48.112819277108436","54.918928828690987","28.32093633133573","16.760134839973283"
"289","1.6809038302562671E-2","30.5","67.400000000000006","66.790000000000006","55.14","DTU 1022","DTU 1022 Plot 1","h2","54.228471544715447","33.61420859830929","37.340877744299434","29.04491365739128"
"290","1.4333706606942904E-2","30.37","75.66","75.02","44.98","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 2","h3","44.344380657981894","64.472023637002735","16.358839065581037","19.169137297416228"
"291","2.0739716557207102E-2","30.32","59.85","59.25","59.87","SWR 6003","SWR 6003 Plot 1","h1","58.653542160514718","71.016243224532275","1.6741099718354349","27.309646803632283"
"292","1.6857142857142956E-2","30.88","66.47","65.88","53.54","Cath Fed 30 01","Cath Fed 30 01 NA","h3","52.652430457993816","14.101827103664462","56.645935352216526","29.252237544119012"
"293","2.6452527161077106E-2","30.69","52.42","51.86","43.62","A-30-3-101S","A-30-3-101S Plot 2","h3","42.495876668200637","34.111254560957903","37.034245373761763","28.854500065280334"
"294","3.4591194968553278E-2","30.8","50.54","49.88","40.36","A-30-3-101S","A-30-3-101S Plot 2","h3","39.010577507598789","27.546092489912809","48.781380487709519","23.672527022377672"
"295","3.1238779174147125E-2","30.39","59.11","58.24","57.96","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2","h3","56.204247910863515","25.804674325445745","44.47337286106621","29.721952813488048"
"296","7.8678678678678379E-2","30.79","66.709999999999994","64.09","54.04","Cities Fed 07 31","Cities Fed 07 31 NA","h5","50.098329621380856","8.1805713930066446","26.94521994558616","64.874208661407195"
"316","1.5186915887850769E-2","29.32","46.7","46.44","50.94","DTU 1022","DTU 1022 Plot 1","h3","50.177951668584562","15.95974685213389","64.400492531369892","19.639760616496218"
"317","2.2995649471721408E-2","29.41","45.87","45.5","48.86","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 1","h2","47.761688942891865","49.750520697254778","17.518431156371271","32.731048146373951"
"318","1.9940179461615082E-2","29.25","49.71","49.31","41.18","SWR 6003","SWR 6003 Plot 1","h3","40.37491691104595","9.8218118187936909","54.702225107346358","35.475963073859951"
"319","1.742816768723492E-2","29.08","50.68","50.31","43.44","A-30-1-101S Rd","A-30-1-101S Rd Plot 2","h3","42.695888888888888","40.531211957081872","46.889665732631201","12.57912231028693"
"320","3.4216867469879564E-2","29.26","50.72","50.01","42.65","A-30-3-101S","A-30-3-101S Plot 1","h2","41.238932898415655","58.776818881622617","27.43941387093156","13.783767247445825"
"321","2.1332172398781109E-2","30.51","53.97","53.48","46.74","A-30-3-101S Rd","A-30-3-101S Rd Plot 1","h1","45.763759590792837","84.704053900745691","2.5042046926701254","12.79174140658419"
"322","1.8259281801582736E-2","30.8","47.53","47.23","48.07","Cath Fed 30 01 Rd","Cath Fed 30 01 Rd Plot 1","h1","47.208015540944395","44.924607183604842","33.035524507410457","22.039868308984698"
"323","3.3321763276640083E-2","30.43","60.2","59.24","58.44","A-30-3-101S","A-30-3-101S Plot 2","h4","56.555471951629158","13.114250293859129","44.610683353149263","42.275066352991608"
"324","3.289057558507294E-2","30.45","46.78","46.26","50.34","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2","h2","48.73701163502755","27.552271531618203","41.8433756399047","30.604352828477097"
"325","3.1052328924669307E-2","30.23","48.16","47.62","51.3","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2","h5","49.754991634132736","26.918763106139068","37.998068181618549","35.083168712242383"
"326","3.7804878048780466E-2","30.49","56.02","55.09","51.77","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2","h4","49.884136310223269","22.371776524014606","42.456602454378725","35.171621021606668"
"327","3.5428089413749315E-2","30.5","55.05","54.21","49.63","SDC 7326 Rd","SDC 7326 Rd Plot 2","h4","47.931865580448076","7.6936446792501272","39.08778766306272","53.218567657687153"
"328","2.4987986544930472E-2","30.38","51.71","51.19","44.05","SDC 7326 Rd","SDC 7326 Rd Plot 2","h1","42.97611345522737","44.155024569629212","23.809500207948375","32.035475222422413"
"329","2.1933085501858865E-2","30.54","58.03","57.44","55.23","Cath Fed 30 01","Cath Fed 30 01 NA","h2","54.044634412513631","20.816921913238787","53.029153319939617","26.153924766821596"
"330","6.7062043795620377E-2","30.33","53.72","52.25","46.13","Cities Fed 07 31","Cities Fed 07 31 Plot 2","h4","43.230850790936302","12.972238042237265","40.091887341187146","46.935874616575589"
"331","1.2419700214133031E-2","30.88","54.52","54.23","47.51","DTU 1022","DTU 1022 Plot 1","h4","46.927178510998289","7.7815779111336667","65.16964440892194","27.048777679944394"
"332","1.6890428757037702E-2","30.69","54.17","53.78","45.56",NA,"NA NA","h2","44.803253833049403","63.172581870133399","24.607243603031556","12.220174526835045"
"333","2.9739776951672948E-2","30.8","61.27","60.39","40.67","SDC 7326 Rd","SDC 7326 Rd Plot 2","h2","39.495415162454869","5.2667348809026606","51.837640655995415","42.895624463101925"
"334","2.1695594125500619E-2","30.39","61","60.35","57.14","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 2","h1","55.926638353479262","58.256067099159083","29.774228142527878","11.969704758313039"
"351","2.8157463094587235E-2","29.32","66.930000000000007","65.900000000000006","54.43","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2","h1","52.939361871842586","60.331973681818234","26.995792132663425","12.67223418551834"
"352","2.7244149493538289E-2","29.41","58.82","58.04","46.02","Cities Fed 07 31","Cities Fed 07 31 Plot 2","h1","44.79947636858212","62.053127897891898","26.528288311073084","11.418583791035021"
"353","3.2944120100083671E-2","29.25","54.02","53.23","56.3","A-30-3-101S Rd","A-30-3-101S Rd Plot 2","h1","54.504400484456987","52.297429622376242","33.600236751860749","14.102333625763006"
"354","1.155802126675913E-2","29.07","50.95","50.7","44.64","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 2","h4","44.129945155393052","72.611079458822786","14.620747121854041","12.768173419323169"
"355","3.0085959885386687E-2","29.25","58.01","57.17","57.32","Cath Fed P 35 3 102","Cath Fed P 35 3 102 Plot 1","h3","55.645841446453417","24.375582197142478","41.752960666724725","33.871457136132797"
"356","4.1396103896103736E-2","30.5","56.16","55.14","49.5","A-30-3-101S","A-30-3-101S Plot 2","h2","47.532346063912712","35.307211727666285","31.253551446948585","33.43923682538513"
"357","6.8870523415964259E-4","30.8","45.33","45.32","46.53","A-30-3-101S Rd","A-30-3-101S Rd Plot 2","h2","46.497976600137662","35.481063492317247","43.447647649346628","21.071288858336125"
"358","2.0699500356887873E-2","30.43","59.03","58.45","58.16","SWR 6003","SWR 6003 Plot 1","h2","56.980531468531467","15.184328997447139","49.333051958228573","35.482619044324288"
"359","1.9211822660098549E-2","30.45","51.14","50.75","40.78","SWR 6003","SWR 6003 Plot 1","h4","40.011309811503139","12.687039604817713","58.947912184349399","28.365048210832889"
"360","1.7934782608695559E-2","30.23","48.96","48.63","55.12","Cath Fed 30 01 Rd","Cath Fed 30 01 Rd Plot 1","h2","54.148852108916181","10.211659370551374","65.708672899215387","24.079667730233236"
"361","3.5992217898832786E-2","30.49","51.79","51.05","45.26","A-30-3-101S","A-30-3-101S Plot 1","h3","43.687586854460086","46.283478289854763","35.914241415659568","17.802280294485669"
"362","3.0502392344497486E-2","30.49","47.72","47.21","50.91","Cities Fed 07 31","Cities Fed 07 31 Plot 2","h3","49.403087637840976","25.588860514912923","53.479192987627776","20.9319464974593"
